,Date,Open,High,Low,Close,Adj Close,Volume
249,19/4/2021,0.562069,0.578269,0.505291,0.51482,0.51482,61539578
250,20/4/2021,0.514027,0.531588,0.448961,0.52162,0.52162,89314990
251,21/4/2021,0.523006,0.572203,0.504652,0.51265,0.51265,82611667
252,22/4/2021,0.510551,0.527673,0.437564,0.438565,0.438565,77378242
253,23/4/2021,0.437991,0.4489,0.336688,0.426597,0.426597,104573779
254,24/4/2021,0.427005,0.435887,0.392468,0.409867,0.409867,59500930
255,25/4/2021,0.410704,0.453479,0.392236,0.416083,0.416083,51059955
256,26/4/2021,0.417879,0.500722,0.414188,0.499597,0.499597,67262257
257,27/4/2021,0.500279,0.543196,0.486695,0.540338,0.540338,52790634
258,28/4/2021,0.540569,0.612895,0.51481,0.586783,0.586783,160224947
259,29/4/2021,0.589092,0.611016,0.540986,0.565416,0.565416,82507013
260,30/4/2021,0.566012,0.630697,0.550778,0.621095,0.621095,99524809
261,1/5/2021,0.6203,0.629146,0.593155,0.60322,0.60322,50988710
262,2/5/2021,0.602806,0.605143,0.561919,0.583017,0.583017,47641104
263,3/5/2021,0.581581,0.677456,0.580466,0.657213,0.657213,144641774
264,4/5/2021,0.657286,0.72114,0.573006,0.576634,0.576634,286297424
265,5/5/2021,0.573153,0.619487,0.566873,0.603701,0.603701,96980785
266,6/5/2021,0.604989,0.605513,0.542181,0.56105,0.56105,75875023
267,7/5/2021,0.562212,0.580097,0.522148,0.546202,0.546202,68328206
268,8/5/2021,0.547115,0.568574,0.534923,0.54064,0.54064,47115745
269,9/5/2021,0.543182,0.548031,0.50335,0.540652,0.540652,48112441
270,10/5/2021,0.543142,0.548576,0.43467,0.462137,0.462137,58089265
271,11/5/2021,0.461863,0.509833,0.450125,0.503672,0.503672,58017878
272,12/5/2021,0.502984,0.53222,0.403451,0.403451,0.403451,54946606
273,13/5/2021,0.411964,0.449981,0.389242,0.423087,0.423087,79450062
274,14/5/2021,0.423196,0.459353,0.411373,0.440028,0.440028,51712597
275,15/5/2021,0.440175,0.510297,0.4304,0.432015,0.432015,118034359
276,16/5/2021,0.432592,0.466907,0.390473,0.416102,0.416102,68219693
277,17/5/2021,0.41599,0.416199,0.358212,0.375547,0.375547,66130232
278,18/5/2021,0.37524,0.418886,0.371523,0.392683,0.392683,52062980
279,19/5/2021,0.392614,0.401849,0.182939,0.248068,0.248068,87060306
280,20/5/2021,0.24722,0.315578,0.214593,0.312799,0.312799,70672916
281,21/5/2021,0.311301,0.353413,0.239758,0.293819,0.293819,81939341
282,22/5/2021,0.293401,0.479682,0.274707,0.433342,0.433342,398314380
283,23/5/2021,0.441875,0.464084,0.237078,0.29115,0.29115,205068193
284,24/5/2021,0.294473,0.320053,0.258194,0.311687,0.311687,104862403
285,25/5/2021,0.311798,0.320012,0.263078,0.293442,0.293442,59644091
286,26/5/2021,0.292938,0.387455,0.28367,0.371409,0.371409,100508302
287,27/5/2021,0.372073,0.374762,0.327347,0.33488,0.33488,64144521
288,28/5/2021,0.337054,0.377713,0.30463,0.339027,0.339027,109838745
289,29/5/2021,0.338063,0.338063,0.284339,0.305906,0.305906,51276859
290,30/5/2021,0.30549,0.333099,0.281862,0.315883,0.315883,39733787
291,31/5/2021,0.315782,0.334746,0.294353,0.33463,0.33463,37614427
292,1/6/2021,0.334173,0.334409,0.311007,0.323133,0.323133,30042106
293,2/6/2021,0.323524,0.337711,0.312504,0.33222,0.33222,33858547
